,Samlpe,Type,MSI.score,Genes
5619,TCGA-63-A5MY-01,LUSC,0.400428630364699,7.29298986317207
5620,TCGA-66-2727-01,LUSC,0.349478514519109,7.45530172972956
5621,TCGA-66-2734-01,LUSC,0.349138777077085,7.21726849516802
5622,TCGA-66-2742-01,LUSC,0.339821504923343,7.51737502309999
5623,TCGA-66-2744-01,LUSC,0.312665173558394,7.16624397648032
5624,TCGA-66-2754-01,LUSC,0.372394965238024,7.39412142003452
5625,TCGA-66-2755-01,LUSC,0.348572370159641,7.94852519188755
5626,TCGA-66-2756-01,LUSC,0.356143810225275,6.33760786572431
5627,TCGA-66-2757-01,LUSC,0.367706537116356,7.26612071599439
5628,TCGA-66-2758-01,LUSC,0.36669988859949,6.68236986478831
5629,TCGA-66-2759-01,LUSC,0.35456499895441,7.29972342807769
5630,TCGA-66-2763-01,LUSC,0.356256516372818,7.16733318072563
5631,TCGA-66-2765-01,LUSC,0.35038409009432,6.52087082768205
5632,TCGA-66-2766-01,LUSC,0.373063498633161,6.79376829016345
5633,TCGA-66-2767-01,LUSC,0.352758525040637,6.87458686222863
5634,TCGA-66-2768-01,LUSC,0.374733478031214,6.83573294186926
5635,TCGA-66-2769-01,LUSC,0.34118877247874,7.49222878099126
5636,TCGA-66-2770-01,LUSC,0.347325491633802,7.46560363443155
5637,TCGA-66-2771-01,LUSC,0.328147114033631,6.80965973491994
5638,TCGA-66-2773-01,LUSC,0.34300978255439,7.10878797741295
5639,TCGA-66-2777-01,LUSC,0.339935493391058,6.95244824045727
5640,TCGA-66-2778-01,LUSC,0.337654011076595,7.18182773638165
5641,TCGA-66-2780-01,LUSC,0.348345745113481,7.19194894249887
5642,TCGA-66-2781-01,LUSC,0.351854439132379,6.72459656283634
5643,TCGA-66-2782-01,LUSC,0.336626165763536,7.47325598776636
5644,TCGA-66-2783-01,LUSC,0.338452940355049,5.83653055061089
5645,TCGA-66-2785-01,LUSC,0.347098670622268,7.1543959773697
5646,TCGA-66-2786-01,LUSC,0.345055675179296,6.77716359559361
5647,TCGA-66-2787-01,LUSC,0.351176002702812,6.91733751775901
5648,TCGA-66-2788-01,LUSC,0.350044565862694,6.73618260959073
5649,TCGA-66-2789-01,LUSC,0.352758525040637,6.84949509816461
5650,TCGA-66-2791-01,LUSC,0.356031095272221,6.96857712248286
5651,TCGA-66-2792-01,LUSC,0.364908555088715,6.57173767957003
5652,TCGA-66-2793-01,LUSC,0.369271040025094,6.81472968777991
5653,TCGA-66-2794-01,LUSC,0.358283722852818,6.82402349270314
5654,TCGA-66-2795-01,LUSC,0.358846330605099,7.31926634538625
5655,TCGA-66-2800-01,LUSC,0.370052655715914,7.30479408789393
5656,TCGA-68-7755-01,LUSC,0.403485882787454,7.00796930420196
5657,TCGA-68-7756-01,LUSC,0.380286156123079,7.08163083177769
5658,TCGA-68-7757-01,LUSC,0.389566811762726,6.84461893813663
5659,TCGA-68-8250-01,LUSC,0.444030911158393,7.31660417554156
5660,TCGA-68-8251-01,LUSC,0.40250390087259,7.58088293547556
5661,TCGA-68-A59J-01,LUSC,0.389346536162498,7.38826779086217
