,Samlpe,Type,TMB.score,Genes
117,TCGA-BT-A20W-01,BLCA,2.1603279594,7.73915530793581
118,TCGA-BT-A20X-01,BLCA,1.8990844076,7.17967169053606
119,TCGA-BT-A2LA-01,BLCA,4.9179420871,8.32455063463165
120,TCGA-BT-A2LB-01,BLCA,14.759669912,7.11517850063283
121,TCGA-BT-A2LD-01,BLCA,2.6041463988,7.11533030427826
122,TCGA-BT-A3PH-01,BLCA,11.944877515,6.84444992532231
123,TCGA-BT-A3PJ-01,BLCA,12.272823633,7.66527365851915
124,TCGA-BT-A3PK-01,BLCA,9.0595011268,6.84734895410317
125,TCGA-BT-A42C-01,BLCA,8.9830386432,7.72689373295116
126,TCGA-BT-A42E-01,BLCA,4.7822342675,7.23528326196137
127,TCGA-BT-A42F-01,BLCA,4.3918458436,6.78899265304679
128,TCGA-C4-A0EZ-01,BLCA,4.8419994331,8.86394668230221
129,TCGA-C4-A0F0-01,BLCA,2.3096835708,7.58500058928352
130,TCGA-C4-A0F1-01,BLCA,4.1416494022,6.50737489556666
131,TCGA-C4-A0F6-01,BLCA,5.1905388341,7.22620223092183
132,TCGA-C4-A0F7-01,BLCA,1.7516119999,6.749739393648
133,TCGA-CF-A1HR-01,BLCA,6.8922345457,6.5622395885363
134,TCGA-CF-A1HS-01,BLCA,6.4471017529,7.12961902623217
135,TCGA-CF-A27C-01,BLCA,3.8150151015,7.09139845812623
136,TCGA-CF-A3MF-01,BLCA,0.6038107523,4.31095686228994
137,TCGA-CF-A3MG-01,BLCA,3.6533422772,7.19483919155326
138,TCGA-CF-A3MH-01,BLCA,1.2068045069,6.54930247248925
139,TCGA-CF-A3MI-01,BLCA,1.8409242388,5.59643205726108
140,TCGA-CF-A47S-01,BLCA,0.7655017208,6.30955799394952
141,TCGA-CF-A47T-01,BLCA,0.7332095024,6.82706861547131
142,TCGA-CF-A47V-01,BLCA,1.9917815359,5.9951083841467
143,TCGA-CF-A47W-01,BLCA,0.7769845008,6.68114148980871
144,TCGA-CF-A47X-01,BLCA,8.6659773447,6.9582602599792
145,TCGA-CF-A47Y-01,BLCA,1.7089123798,5.580099488404
146,TCGA-CF-A5U8-01,BLCA,1.3064177219,6.94501974075257
147,TCGA-CF-A5UA-01,BLCA,1.7961413239,6.87678071149238
148,TCGA-CF-A7I0-01,BLCA,1.0105310712,6.34174384775829
149,TCGA-CF-A8HX-01,BLCA,1.4835680467,5.47657654972538
